公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市,JD
深圳市紫川软件有限公司,紫川软件,500-2000人,不需要融资,南山区,python工程师,3-5年,本科,14k-18k,周末双休 免费体检 员工旅游 五险一金,"电商,金融",开发|测试|运维类,"['节日礼物', '年底双薪', '绩效奖金', '岗位晋升']",后端开发,深圳,"
职位描述：

1、具有1-2年爬虫开发经验，精通python，熟练使用多线程，熟悉常用的爬虫框架；02
2、对数据结构和算法设计有较为深刻的理解，具有良好的沟通能力和团队合作意识;02
3、熟悉正则表达式，Jsoup、XPATH，CSS选择器，能够从结构化和非机构化的数据中获取信息,了解各种Web前端技术，包括HTML／XML／JavaScript／AJAX／JSON等;02
4、拥抱新技术，有很强的学习能力；02
5、懂其他技术点加分。02
6、有主流电商平台数据爬取经验优先

"
深圳众禄基金销售股份有限公司,众禄基金,150-500人,上市公司,罗湖区,Python开发工程师,3-5年,大专,15k-25k,"团队氛围,高速发展,互联网金融,五险一金","移动互联网,金融",开发|测试|运维类,"['股票期权', '绩效奖金', '带薪年假', '通讯津贴']",后端开发,深圳,"
职位描述：

        职位描述
我们是已有成熟产品&成熟业务模式的互联网金融&新三板挂牌（股票代码：834540）企业，公司面向客户的UI及后台逻辑全部基于Python开发，我们需要更强大的Pythoner来进一步壮大我们的Python开发团队。来这里，我们希望你和我们一起实现稳定安全高效的大型金融交易系统，所以如果你有丰富的项目经验，在Python技术领域身怀六甲，学富五车，我们这里有舞台，和我们的Python团队一起做出牛x的金融交易及咨询系统。

工作职责：

1、主要负责公司门户和交易网站前端和后端的开发和维护工作；
2、参与项目需求分析、系统方案设计；
3、配合测试人员修改测试中发现的问题。

任职资格：

1、大专以上学历，3年及以上Python开发工作经验，熟悉django框架；
2、熟悉Redis,RabbitMQ等中间件的使用；
3、熟悉MySQL/PostgreSQL/MongoDB数据库;
4、熟悉HTML5/CSS3/JavaScript(ES6)/jQuery等WEB前端技术，熟悉restfulapi规范；
5、会使用React/Vue.js/Angular等任一前端开发框架优先考虑；
6、积极好学，责任感强，抗压能力好。
        
"
弘量科技（深圳）有限公司,弘量科技（深圳）有限公司,50-150人,B轮,南山区,Python工程师,不限,本科,15k-30k,"互联网金融,智能投顾,弹性工作",金融,开发|测试|运维类,"['优秀同事', '股票期权', '年终分红', '带薪年假']",后端开发,深圳,"
职位描述：

        职位诱惑：
互联网金融,股票期权,弹性工作

岗位职责：
1. 负责各类数据接入，包括实时数据/批量数据，保证数据质量
2. 数据后台服务，向算法团队提供稳定可靠的数据接口
3. 数据仓库的建立和维护

任职条件:
1. 计算机相关专业本科以上，基础扎实，具备良好的编码和学习能力
2. 良好的工程素养，有很强的解决问题的能力
3. 1-5年Python工作经验，熟悉主流web后台框架(Django, Flask等)
4. 熟悉Linux开发环境，熟悉mysql/redis/rabbitmq等主流中间件
5. 至少1年Java开发经验，熟悉Springboot/Cloud框架
6. 熟悉git/jenkins/k8s/docker等devops的使用

以下条件优先：
1，有创业的热情，熟悉 fintech;
2，熟悉大数据开发优先，如hive， spark等;
3，熟悉Python和Java开源项目；
4，熟悉Ext Web框架；
5，背景优秀；


公司提供有竞争力的工资+奖金+股权激励，正规的五险一金、休假等福利，额外有各种小福利。
公司团队来自腾讯、华为等知名企业。

产品线有：
1、资管业务，由公司Algo团队支持，提供给公募私募策略
2、2B2C业务，公司给大型金融机构提供算法+IT的完整解决方案
3、2C业务，在香港和内地均有财富管理产品推出

目前和多家知名VC在洽谈融资，发展前景良好。


"
深圳佑驾创新科技有限公司,MINIEYE,150-500人,A轮,南山区,Python工程师,1-3年,本科,15k-30k,"无人驾驶,海归团队,车厂合作,扁平管理","硬件,其他",开发|测试|运维类,"['无人驾驶', '国际标准', '车厂合作', '海归团队']",后端开发,深圳,"
职位描述：

1.基于产品需求和用户使用场景，负责测试方案落地实现，参与系统搭建、调试等工作；
2.搭建算法相关自动化测试平台、参与数据处理等工具的开发和维护。

职位要求：
1.熟悉Linux开发环境，了解C/C++开发语言；
2.精通Python、Ruby、Node.js等至少要1种动态语言；
3.使用过MySQL、MongoDB、SQLite等数据库；
4.较强的逻辑思维能力、分析问题的能力，善于并表达自己的想法；
5.强烈的责任心，有良好的沟通和团队意识；
具有以下经验优先：
0202 1、web前端开发，了解一种以上开源web框架譬如flask、koa的架构；
02 022、持续集成、持续测试、持续部署、性能测试、自动化测试等工具的使用；
02 023、在校期间参加过ACM程序设计, 电子设计，数学建模等学科竞赛；
0202 4、linux嵌入式设备测试。
欢迎测试工程师转测试研发或python工程师岗位

"
深圳寻找母星网络科技有限公司,寻找母星,50-150人,A轮,南山区,python工程师,1-3年,本科,15k-25k,风口行业、明星团队、晋升空间大、待遇优厚,"移动互联网,消费生活",开发|测试|运维类,"['股票期权', '带薪年假']",后端开发,深圳,"
职位描述：

        欢迎一起，寻找母星。
希望多年后，回忆这段酣畅淋漓的创业历程，你不会后悔。

岗位职责：
1. 与业务团队团队紧密协作，处理业务相关数据，梳理和分析业务逻辑和用户行为;
2. 确保数据质量，监控数据的实时性和准确性，检测数据异动;
3. 具备良好的数据建模能力，参与设计数据模型及核心应用开发，为决策提供依据;
4. 参与公司数据仓库建设，用户行为日志处理分析工作;
5. 负责新技术的调研、选型、推广和应用。

岗位要求：
1. 具有 Python 或其他语言项目开发经验，有良好的编码习惯，对数据感兴趣;
2. 良好的业务分析沟通能力，耐心细致;
3. 良好的计算机相关基础知识，熟悉常用数据结构、算法、设计模式;
4. 熟悉 SQL 语言，熟悉至少一种关系型数据库，如 MySQL 。了解常用的 NoSQL 数据库，如 ElasticSearch 、Redis ;
5. 了解 Linux 操作系统，熟悉常见 Shell 指令，熟悉 Git 版本控制;
6. 熟练掌握 Pandas 、NumPy 等工具进行数据清洗工作;
7. 熟悉数据类统计模型和方法;
8. 了解数据可视化基本概念;
9. 对新技术有热情，了解 Spark/HDFS/HBase/Hive/Kafka 等大数据组件的原理和开发调优。

加分项：
1.有数据仓库开发经验者优先;
2.有数据分析经验者优先;
3.有个人项目或者博客者优先。

**********************************************
【寻找母星，是谁】
寻找母星是一个互联网基因强大的创业团队――
CEO，共享充电宝「街电」创始人；
联合创始人，百姓网首席架构师，nonda平台总监，食色创始人；
CTO，阿里云早期创始团队出身，周末去哪儿网CTO；
商务团队铁军云集，美团点评深圳负责人、去哪儿网广深负责人、猫眼电影华东大区总 ……
18年6月成立。天使轮已获得美金机构千万级融资，估值过亿。


"
深圳市博悦科创科技有限公司,博悦科创,500-2000人,不需要融资,南山区,python开发工程师,1-3年,本科,10k-15k,"前景好,福利好",移动互联网,开发|测试|运维类,"['年底双薪', '定期体检', '绩效奖金', '技能培训']",后端开发,深圳,"
职位描述：

        1、熟悉Python开发， 有一 定的java开发能力 ,具备丰富的项目开发经验:
2、熟悉Spring、 MyBatis. Vue、 Angular. React. 8TL、 NodeJS、 Flask等开源框架中的一种或多种:
3、熟悉MySQL、 Postgre8QL 等关系数据库，熟悉Tomcat. Ngin>等服务器:
4、具有大数据开发项目经验者优先
5.具备良好的目标导向、系统性思维、沟通协调能力
6.本科以上学历，计算机、自动化相关专业
        
"
深圳市金蝶天燕云计算股份有限公司,金蝶天燕,150-500人,上市公司,南山区,python开发工程师,3-5年,本科,10k-20k,平台大，管理规范,企业服务,开发|测试|运维类,"['岗位晋升', '管理规范', '五险一金', '带薪年假']",后端开发,深圳,"
职位描述：

        岗位职责：
1、负责开发多数据库的数据采集和计算加工的后台业务功能；
2、负责开发数据采集的任务调度、数据抽取、数据加工中间件等功能；
3、开发数据缓存及其管理模块，实现前端访问缓存，后台异步更新缓存；
4、维护和管理后台程序，实现其稳定高效运行。

任职要求：
1、Python基础扎实，理解多线程、多进程以及熟练使用python语法；
2、计算机及其相关专业，计算机网络、数据结构基础知识扎实；
3、熟练使用Django、tornado等web框架及其相关库如Celery进行开发；
4、可在Linux系统下进行开发和调试后台程序；
5、熟练使用mysql、oracle、sqlserver数据库中的一种或多种。
        
"
深圳市比一比网络科技有限公司,深圳市比一比网络科技有限公司,50-150人,B轮,南山区,python开发工程师,5-10年,本科,15k-20k,双休、五险一金、人工智能、大数据、活动,"电商,数据服务",开发|测试|运维类,"['技能培训', '股票期权', '带薪年假', '岗位晋升']",后端开发,深圳,"
职位描述：

        工作职责：
1、参加应用系统的模块设计、开发、联调、维护等工作；
2、能按时、独立、高质量的完成工作，对代码要求严格；
3、满足业务的软件开发需求，根据开发进度和任务分配，提交合格软件。

任职要求：
1、熟练python应用开发，熟练使用python进行数据处理，如numpy，pandas等库
2、有python web开发经验，如django，flask，tornado
3、熟悉常见图形库的使用如opencv
4、熟练使用常见SQL，non-SQL数据库，如mysql,mongodb,redis
5、熟悉QT、pyqt、或其它GUI开发框架；熟悉使用QT绘制自定义二维图形
6、良好的编码习惯和学习能力，较强的自我推动力
7、很好的团队协作和沟通能力

加分项：
了解常见机器学习、深度学习框架，性能指标
熟悉QT、pyqt、或其它GUI开发框架；熟悉使用QT绘制自定义二维图形


"
深圳市比一比网络科技有限公司,深圳市比一比网络科技有限公司,50-150人,B轮,南山区,python开发工程师,5-10年,本科,15k-25k,双休、五险一金、人工智能、大数据、活动,"电商,数据服务",开发|测试|运维类,"['技能培训', '股票期权', '带薪年假', '岗位晋升']",后端开发,深圳,"
职位描述：

        工作职责：
1、参加应用系统的模块设计、开发、联调、维护等工作；
2、能按时、独立、高质量的完成工作，对代码要求严格；
3、满足业务的软件开发需求，根据开发进度和任务分配，提交合格软件。

任职要求：
1、熟练python应用开发，熟练使用python进行数据处理，如numpy，pandas等库
2、有python web开发经验，如django，flask，tornado
3、熟悉常见图形库的使用如opencv
4、熟练使用常见SQL，non-SQL数据库，如mysql,mongodb,redis
5、熟悉QT、pyqt、或其它GUI开发框架；熟悉使用QT绘制自定义二维图形
6、良好的编码习惯和学习能力，较强的自我推动力
7、很好的团队协作和沟通能力

加分项：
了解常见机器学习、深度学习框架，性能指标
熟悉QT、pyqt、或其它GUI开发框架；熟悉使用QT绘制自定义二维图形


"
深信服科技股份有限公司,深信服科技集团,2000人以上,不需要融资,南山区,python开发工程师,不限,本科,15k-30k,"平台大,福利好,薪资高","信息安全,企业服务",开发|测试|运维类,"['三餐全包', '大牛超多', '年终奖超多', '大公司，稳定']",后端开发,深圳,"
职位描述：

        岗位职责：
1、负责公司研发体系核心业务系统产品开发；
2、参与系统需求分析、设计及开发，保证产品的稳定性及性能；
3、独立完成模块详细设计及开发，并能指导团队成员，协助团队成员解决技术问题；
4、完成高质量项目材料的编写，包括但不限于需求文档、设计文档；

岗位要求：
1、本科及以上学历，计算机、数学等相关专业，1年以上相关经验；
2、熟练使用Python语言，熟悉常用的python相关技术（flask、django、mysql/mongoDB、Redis等）；
3、熟悉MySQL/PostgreSQL/Redis/MongoDB；
4、熟悉Linix操作系统，熟练shell编程，能够独立完成项目上线、平台搭建等常用操作；
5、较强的编码能力；
6、具备较强的学习能力和责任心，良好的沟通能力、文档编写能力，有github开源项目者优先；
7、喜欢钻研开源技术及自动化技术，具有较强的分析、解决应用问题的能力。

加分项：
1、熟悉一种及以上后台语言并有相应的开发经验，比如php、python；
2、对前端工程化有较深的理解；
3、对前端性能优化有相关开发经验；
4、熟悉常见的web应用漏洞形成原理及修复方法，有良好的安全编码意识；5、有安全开发工作经验优先；对于经验更丰富、能力更强、有相关领域研发经验者，将会以更高级别招聘入职；

最神秘、最酷炫、最有前（钱）景的网络安全行业；加入我们，来一场与黑客博奕、和**对抗的激战；
        
"
翼果（深圳）科技有限公司,翼果科技,50-150人,不需要融资,南山区,python开发工程师,应届毕业生,本科,8k-15k,"绩效奖金,股票期权,导师带队,技术氛围浓",数据服务,开发|测试|运维类,"['绩效奖金', '岗位晋升', '扁平管理', '领导好']",后端开发,深圳,"
职位描述：

        职位诱惑：
绩效奖金,股票期权,导师带队,技术氛围浓

职位描述：
工作职责：

1. 根据设计完成代码编写、调试、测试和维护；

2. 使用Python或JAVA语言对后台业务逻辑进行开发以及维护；

3. 能根据实际需求，使用前沿第三方框架实现各种功能。



职位要求：

1. 精通Python或JAVA语言；

2. 熟悉PEP8或JAVA编程规范；

3. 具有良好的沟通能力、团队合作精神、优秀的分析问题和解决问题的能力。



优先条件：

1. 熟悉网页爬取、数据挖掘、数学建模和算法，熟悉Scrapy等相应的开源组件；有良好的设计能力，熟悉常用的设计模式和设计原则。
        
"
浪潮通用软件有限公司,浪潮通软,500-2000人,上市公司,南山区,python开发工程师,3-5年,本科,12k-20k,薪资优厚,企业服务,开发|测试|运维类,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",后端开发,深圳,"
职位描述：

岗位职责：
1、Odoo云ERP开源产品研发（Python）；
2、参与产品应用功能设计、编码及文档维护。
岗位要求：
1、2年及以上开发经验，有扎实的Python编程能力，熟悉Django/Flask/ Tornado等Web开发框架，有优秀的设计能力；
2、掌握常用的研发框架以及相关设计模式，如MVC、ORM的使用，并在生产环境中使用过相关技术；
3、熟悉面向对象的设计思想，有良好的数据结构和算法基础，拥有良好的代码习惯，结构清晰，命名规范，逻辑性强；
4、熟悉Postgresql、MySQL等数据库；
5、有ERP管理软件及odoo产品开发经验开发经验优先考虑；
6、敏捷开发管理开发经验和团队管理经验优先考虑；
7、有个人github仓库者优先考虑。

"
深圳看到科技有限公司,看到科技,50-150人,B轮,南山区,Python开发工程师,1-3年,本科,10k-15k,"周末双休,五险一金,弹性工作,年终奖金","移动互联网,文娱丨内容",开发|测试|运维类,"['年底双薪', '绩效奖金', '股票期权', '五险一金']",后端开发,深圳,"
职位描述：

岗位职责：1.指定后台与前端相关通信接口；2.实现后台相关资源管理与数据处理。
任职要求：1.精通python，熟悉django；2.熟悉JSON/XML/JS, 数据库；3.掌握GIT,Linux等开发工具；4.掌握MVC方法，理解面向对象编程思想；5.良好的沟通与表达能力、思路清晰，较强的动手能力与逻辑分析能力；6.掌握J2EE/C++ 等技术者优先。


"
深圳市睿服科技有限公司,金证睿服,2000人以上,上市公司,福田区,python开发工程师,3-5年,本科,12k-16k,加班少/年节福利/五险一金等等等等,金融,开发|测试|运维类,[],后端开发,深圳,"
职位描述：

        【工作职责】：
 基于业务需求或技术需要，参与后台服务的开发、优化等工作，并保证代码质量和开发进度
【岗位要求】
1.熟练掌握Python语言，熟悉django/tornado/flask任一python开发框架
2.具备数据库应用、设计能力,熟练使用Oracle/Redis
3.能开发符合RESTful设计思想的接口并能持续优化
4.对技术精进有要求，愿意学习数据分析相关知识，并付诸实践
5.沟通能力、自学能力强，有强烈的求知欲，有独立解决问题的能力
        
"
深圳金蝶账无忧网络科技有限公司,金蝶账无忧,50-150人,不需要融资,南山区,Python开发工程师,3-5年,本科,12k-16k,全面提升开发能力的机会和舞台,企业服务,开发|测试|运维类,"['带薪年假', '通讯津贴', '定期体检', '领导好']",后端开发,深圳,"
职位描述：

岗位职责:1.02设计并开发报税相关业务系统的外部网站数据抓取和自动化报税；2、根据产品规划与需求文档，进行产品模块级或功能级的设计与开发3、针对存在规范、设计、性能和安全问题的代码进行重构和优化任职资格:1、02三年以上基于Python的开发工作经验，有爬虫工作经验者优先;2、掌握python脚本语言，熟悉Django和scrape开发框架;023、02熟悉html、js、css等前端开发技术;4、熟悉Oracle,MySQL至少一种数据库的设计和开发5、良好的沟通能力及团队合作精神，能承担较强工作压力

"
